Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.9,316902963,1240,255566.9,195229.5,7776,34620644,987464.2,"ncclKernel_AllGather_RING_LL_Sum_int8_t(ncclDevComm *, unsigned long, ncclWork *)"
8.6,183448865,720,254790.1,293084.5,91263,380955,119872.4,sm90_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128x128x128_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
8.3,176697256,860,205461.9,225453.0,30080,645752,71118.4,"ncclKernel_ReduceScatter_RING_LL_Sum___nv_bfloat16(ncclDevComm *, unsigned long, ncclWork *)"
7.6,160585779,480,334553.7,385291.5,104671,480057,140004.4,sm90_xmma_gemm_e5m2e4m3bf16_e5m2e4m3f32_f32_tn_n_tilesize128x128x128_warpgroupsize2x1x1_algo2_execute_segment_k_off_kernel__5x_cublas
7.4,157240471,480,327584.3,372203.0,133694,427450,113493.2,sm90_xmma_gemm_e4m3e5m2bf16_e4m3e5m2f32_f32_tn_n_tilesize128x128x128_warpgroupsize2x1x1_algo2_execute_segment_k_off_kernel__5x_cublas
3.8,81715258,1440,56746.7,54175.5,14335,139902,34906.1,"void transformer_engine::cast_transpose_kernel<(int)4, (int)8, float, __nv_bfloat16, __nv_fp8_e4m3>(const T4 *, T5 *, T5 *, const T3 *, T3 *, unsigned long, unsigned long, unsigned long)"
3.7,78006362,255,305907.3,322876.0,8000,335324,70692.0,"ncclKernel_AllReduce_RING_LL_Sum___nv_bfloat16(ncclDevComm *, unsigned long, ncclWork *)"
3.3,70755023,120,589625.2,589624.5,588216,591289,658.0,fusion_132
2.6,55468184,600,92447.0,101438.5,73535,106079,12860.6,void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_nn_align8>(T1::Params)
2.3,48449558,120,403746.3,403675.0,403035,404763,321.0,fusion_52
2.1,44766656,120,373055.5,372875.0,370683,375419,1143.2,sm90_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128x160x128_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
1.7,35326096,120,294384.1,294428.0,292989,295292,386.3,fusion_23
1.6,34590635,120,288255.3,288252.5,286780,290300,791.5,fusion_31
1.6,33351116,120,277926.0,277820.0,276860,279869,601.9,fusion_35
1.5,31238662,480,65080.5,58735.5,45535,97503,20778.1,"void transformer_engine::cast_transpose_kernel<(int)4, (int)8, float, __nv_bfloat16, __nv_fp8_e5m2>(const T4 *, T5 *, T5 *, const T3 *, T3 *, unsigned long, unsigned long, unsigned long)"
1.4,29106463,480,60638.5,60111.5,43103,82079,16167.9,"void transformer_engine::layer_norm::ln_fwd_tuned_kernel<transformer_engine::layer_norm::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_fp8_e4m3, float, unsigned int, (unsigned int)4096, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::layer_norm::Kernel_traits_base<(unsigned int)4096, __nv_bfloat16, __nv_bfloat16, __nv_fp8_e4m3, float, unsigned int, (unsigned int)128>>>(transformer_engine::layer_norm::FwdParams)"
1.4,29092205,120,242435.0,242237.0,241373,245853,749.1,fusion_93
1.4,29068677,120,242239.0,241853.0,240925,245469,972.4,fusion_156
1.2,25245038,240,105187.7,101582.5,77727,136414,25906.9,"void transformer_engine::layer_norm::ln_bwd_tuned_kernel<transformer_engine::layer_norm::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)4096, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::layer_norm::Kernel_traits_base<(unsigned int)4096, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>>(transformer_engine::layer_norm::BwdParams)"
1.1,23526522,240,98027.2,97871.0,94719,100799,2147.7,"void transformer_engine::scaled_masked_softmax_warp_forward<__nv_bfloat16, __nv_bfloat16, float, (int)9>(T2 *, const T1 *, const unsigned char *, T3, int, int, int)"
1.0,21813192,10,2181319.2,2186739.5,2100293,2258372,78425.3,sm90_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize128x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
1.0,21530186,120,179418.2,179293.0,178846,181950,501.0,fusion_53
1.0,21488555,120,179071.3,178909.5,178397,180797,564.5,fusion_139
0.9,19682822,10,1968282.2,1972679.0,1831369,2104069,135095.9,sm90_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize256x128x64_warpgroupsize2x1x1_execute_segment_k_off_kernel__5x_cublas
0.9,19349227,240,80621.8,80655.0,78751,82303,761.4,void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_tn_align8>(T1::Params)
0.9,19187273,5,3837454.6,3837422.0,3837007,3838031,450.0,fusion_330
0.8,17110918,120,142591.0,142558.5,140766,144286,769.3,fusion_58
0.8,16939568,240,70581.5,67135.0,54015,92414,15863.4,fusion_166
0.8,16719300,120,139327.5,139214.5,138558,143646,569.2,fusion_48
0.8,16047964,120,133733.0,133535.0,132766,135198,620.8,"void transformer_engine::scaled_masked_softmax_warp_backward<__nv_bfloat16, __nv_bfloat16, float, (int)9>(T2 *, const T1 *, const T1 *, T3, int, int)"
0.7,15158985,240,63162.4,62239.5,54015,74943,8415.4,fusion_103
0.6,12753406,240,53139.2,53215.0,51647,54431,612.7,fusion_69
0.6,12716135,240,52983.9,52879.0,51423,58783,1069.8,fusion_86
0.5,11146128,5,2229225.6,2228899.0,2226051,2232739,2711.8,sm90_xmma_gemm_bf16bf16_bf16f32_f32_nt_n_tilesize128x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
0.4,9525347,120,79377.9,79519.0,77599,80831,675.1,void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x128_64x3_nt_align8>(T1::Params)
0.4,8897547,120,74146.2,75551.0,64415,78303,3145.5,fusion_559
0.4,8744657,120,72872.1,72943.5,71807,74047,479.5,fusion_44
0.4,8345008,240,34770.9,34719.5,29600,40320,1916.6,"transpose_optimized_kernel(const __nv_fp8_e4m3 *, __nv_fp8_e4m3 *, unsigned long, unsigned long)"
0.4,8059192,5,1611838.4,1610667.0,1610252,1614795,2032.6,fusion_393
0.4,8038589,120,66988.2,69695.0,50720,77503,7894.4,fusion_74
0.4,8007602,180,44486.7,45071.0,7679,101663,24634.8,"ncclKernel_AllReduce_RING_LL_Sum_float(ncclDevComm *, unsigned long, ncclWork *)"
0.3,6716362,5,1343272.4,1343119.0,1342095,1345167,1198.9,fusion_233
0.3,6416080,120,53467.3,53343.5,52479,58464,903.2,fusion_151
0.3,6223894,120,51865.8,51904.0,51040,52799,469.0,fusion_187
0.3,5982804,120,49856.7,48528.0,16416,93887,17625.1,"ncclKernel_AllReduce_TREE_LL_Sum___nv_bfloat16(ncclDevComm *, unsigned long, ncclWork *)"
0.3,5974587,120,49788.2,49791.0,49151,50815,384.3,fusion_135
0.3,5748584,120,47904.9,47775.5,46815,49055,692.4,fusion_133
0.3,5515030,120,45958.6,45679.0,40160,56416,3211.8,transpose_199
