Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.4,17081723060,2800,6100615.4,5755643.0,1538875,11242549,3263389.8,sm90_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize128x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
20.9,11718850432,805,14557578.2,14498222.0,456382,21714039,1471220.7,"ncclDevKernel_AllGather_RING_LL(ncclDevComm *, unsigned long, ncclWork *)"
15.5,8692247521,2000,4346123.8,5561837.0,1614202,6473544,1939631.2,sm90_xmma_gemm_bf16bf16_bf16f32_f32_nt_n_tilesize128x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
11.5,6470680730,1200,5392233.9,5211644.5,4954923,6844390,438704.8,sm90_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize256x128x64_warpgroupsize2x1x1_execute_segment_k_off_kernel__5x_cublas
8.2,4623308904,395,11704579.5,11470104.0,11233369,24978923,1536900.9,"ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevComm *, unsigned long, ncclWork *)"
3.8,2109314336,400,5273285.8,5274701.0,5047726,5584971,119048.3,cudnn_generated_fmha_knob_26_64x64x128_1x4x1_kernel0_0
3.2,1801040304,800,2251300.4,2232504.5,1506105,3294996,496175.5,sm90_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize128x128x64_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas
0.9,533009246,400,1332523.1,1275627.0,1093468,1588602,147132.7,cudnn_generated_fmha_knob_3_64x64x128_4x1x1_kernel0_0
0.7,373111589,400,932779.0,932573.0,928765,944700,1564.7,loop_add_multiply_fusion_2
0.5,299543317,390,768059.8,767261.0,721789,813405,15886.7,input_add_multiply_reduce_fusion
0.5,256981672,800,321227.1,320606.0,316831,347903,4481.9,loop_dynamic_update_slice_fusion_2_peeled_double_buffer
0.3,191110243,400,477775.6,466494.5,449950,543710,27855.1,loop_multiply_fusion_peeled_double_buffer
0.3,163049123,395,412782.6,409214.0,375551,442078,15114.6,wrapped_transpose
0.3,162123949,400,405309.9,400702.5,377727,437247,13743.0,input_add_reduce_fusion_5
0.2,128993834,400,322484.6,322062.5,317151,348670,4117.3,loop_dynamic_update_slice_fusion_peeled_double_buffer
0.2,128388899,400,320972.2,321006.5,316606,348543,4663.8,loop_dynamic_update_slice_fusion_1_peeled_double_buffer
0.2,90759402,390,232716.4,232831.5,218144,244734,3931.9,loop_add_fusion
0.1,82436142,800,103045.2,99839.5,94975,120416,8269.5,loop_multiply_fusion_3_peeled_double_buffer
0.1,77850544,780,99808.4,99248.0,91263,109183,7234.6,wrapped_dynamic_slice_6
