Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,StdDev,Name
7.0,107519651,970,110845.0,23104,114912,8847.3,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_32x3_nt_align4>(cutlass_80_tensorop_s1688gemm_128x128_32x3_nt_align4::Params)
6.7,103732253,960,108054.4,100321,113632,2261.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4::Params)
6.7,102884227,960,107171.1,100800,112321,1015.2,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4::Params)
6.1,93665189,240,390271.6,372705,395361,3122.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x128_32x3_nt_align4>(cutlass_80_tensorop_s1688gemm_256x128_32x3_nt_align4::Params)
5.9,91050292,240,379376.2,358305,387905,6175.8,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x256_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_128x256_32x3_nn_align4::Params)
5.8,89365109,240,372354.6,351648,383009,4103.6,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_32x5_tn_align4>(cutlass_80_tensorop_s1688gemm_128x128_32x5_tn_align4::Params)
5.7,87918837,240,366328.5,349761,370817,2901.6,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_16x5_nt_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x5_nt_align4::Params)
5.5,84172874,250,336691.5,316064,389952,10834.1,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x128_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_256x128_32x3_nn_align4::Params)
5.5,84047932,250,336191.7,315905,391552,8512.4,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x128_32x3_tn_align4>(cutlass_80_tensorop_s1688gemm_256x128_32x3_tn_align4::Params)
5.4,82810615,3980,20806.7,4544,660258,40872.5,"void paddle::operators::AdamKernelREG<float, float>(float, float, float, float, float, float const*, float*, float const*, float*, float const*, float const*, float const*, float*, float const*, float*, int)"
3.9,59705594,1920,31096.7,23232,38464,3056.9,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 4, 1, int>, 16, Eigen::MakePointer>, Eigen::TensorShufflingOp<Eigen::array<int, 4ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 4, 1, int>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, int>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 4, 1, int>, 16, Eigen::MakePointer>, Eigen::TensorShufflingOp<Eigen::array<int, 4ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 4, 1, int>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, int)"
3.6,56117842,1460,38436.9,4191,74048,15071.6,"void paddle::operators::MatrixColReduce<float, 32, 32>(float const*, float*, unsigned long, unsigned long)"
3.2,48629613,1480,32857.8,3808,104448,28925.2,"void paddle::operators::ElementwiseBroadcastKernel<float, float, paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaAddFunctor<float>, (paddle::operators::ElementwiseType)2, 4, 2>, (paddle::operators::ElementwiseType)2, 4>(paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaAddFunctor<float>, (paddle::operators::ElementwiseType)2, 4, 2>, int, int)"
